USE_LICENSE_URL,GUID,SCIENTIFIC_NAME,COORDINATEUNCERTAINTYINMETERS,COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_DATE,DEC_LAT,DEC_LONG
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:188670","Buteo jamaicensis calurus","32186.88","United States","California","Adobe Rd.","18 Oct 2003","38.277837","-122.624949"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:136574","Buteo lagopus kamtschatkensis","12364","Korea","Kyonggi Province","Seoul","1 Feb 1958","37.5667","127"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:68292","Buteo lagopus sanctijohannis","2838.882816","United States","Idaho","3 mi SW Minidolea","23 Dec 1935","42.7232","-113.5311"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:159454","Accipiter striatus ssp.","18730","Mexico","Chihuahua","Sierra El Nido, 25 mi SW Gallego","25 Oct 1968","29.5666538729","-106.643906127"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:99776","Buteo jamaicensis harlani","","Canada","British Columbia","Vernon","11 Feb 1936","",""
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:68423","Accipiter gentilis atricapillus","6025.383936","Canada","British Columbia","Indianpoint Lake","20 Aug 1927","53.2667","-121.2667"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:141173","Buteo lagopus sanctijohannis","8046.72","United States","Alaska","Mile 113.5, Richardson Hwy.","7 Oct 1955","62.0831666667","-145.4351388889"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:85534","Rupornis magnirostris griseocauda","3079","El Salvador","Morazan","Monte Cristo Mine","30 Nov 1941","13.58333","-88.06667"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:172021","Aquila chrysaetos canadensis","1000","United States","California","San Felipe Valley","18 Jul 1931","33.1527","-116.5492"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:164311","Buteo jamaicensis borealis","1804","United States","Texas","Copper","19 Nov 1971","33.374","-95.69"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:9775","Accipiter striatus velox","8434.571904","United States","Alaska","Thomas Bay","17 Aug 1909","57.0313888889","-132.8536111111"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:32257","Haliaeetus leucocephalus washingtoniensis","2253.0816","United States","Alaska","Sitka","18 Aug 1896","57.0530555556","-135.33"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:115932","Circus pygargus","1450","France","Midi-Pyrenees","Mas Grenier","not recorded","43.9","1.2"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:7577","Accipiter striatus velox","2414.016","United States","California","Menlo Park","not recorded","37.45587","-122.186478"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:63060","Accipiter striatus velox","6025.383936","Canada","British Columbia","Indianpoint Lake, near Barkerville","1 May 1928","53.2667","-121.2667"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:32235","Accipiter cooperii","4396.727808","United States","California","Glendora","30 Dec 1904","34.132612","-117.852357"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:99841","Buteogallus anthracinus anthracinus","","United States","New Mexico","Gila River, Cliff","4 May 1933","32.95542","-108.6040735"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:54537","Buteo jamaicensis calurus","2414.016","United States","California","Claremont","23 Oct 1926","34.1","-117.72"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:60938","Ictinia mississippiensis","4766.876928","United States","Oklahoma","5 mi W, 4 mi N Canton","21 Jul 1932","36.11202","-98.6773"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:5924","Circus hudsonius","16093.44","United States","California","San Jose","12 Jul 1889","37.3241","-121.89"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:22442","Circus hudsonius","804.672","United States","California","Los Baños","21 Jan 1911","37.060514","-120.84778"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:65115","Circus hudsonius","6905.695104","United States","Kansas","7 mi SW Pittsburg","31 Dec 1932","37.33902","-94.79548"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:7572","Buteo jamaicensis calurus","2414.016","United States","California","Menlo Park","not recorded","37.45587","-122.186478"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:69304","Buteo jamaicensis calurus","336.352896","United States","Idaho","Hammett","3 Jun 1936","42.9458","-115.4653"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:32247","Buteo lineatus elegans","160.9344","United States","California","San Onofre","1 Apr 1905","33.3812","-117.5285"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:30960","Pandion haliaetus haliaetus","4156","Philippines","Lanao","Pantar, Mindanao","February 1908","8.0667","124.2166667"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:123919","Pandion haliaetus haliaetus","5064","Japan","Osaka Prefecture","along shore of Osaka Bay near Suminoe, Honshu","24 Sep 1950","34.60972","135.4825"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:90025","Pandion haliaetus cristatus","6802","Papua New Guinea","New Ireland Province","Emira Island","4 Apr 1944","-1.6585144996","149.9668426513"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:99869","Pandion haliaetus carolinensis","3131.783424","Canada","Ontario","Mount Forest","22 Apr 1893","43.97877","-80.73655"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:99799","Buteo swainsoni","56932.153344","Canada","British Columbia","Okanagan","2 Aug 1932","49.4167","-120"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:140448","Buteo brachyurus fuliginosus","15517.294848","Mexico","Veracruz","12.2 mi S Tampico Alto Junction","8 Apr 1960","21.9319444444","-97.8033333333"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:69428","Buteo jamaicensis calurus","6826.837248","United States","Nevada","20 mi NNW Deep Hole","14 Jul 1936","40.98696","-119.628"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:32223","Accipiter striatus velox","5162.775552","United States","California","Victorville","24 Dec 1904","34.5104033","-117.3122846"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:66417","Buteo jamaicensis harlani","3218.688","United States","Alaska","Mile 20, Richardson Trail","28 Sep 1930","61.1123888889","-145.8102777778"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:21353","Accipiter gentilis gentilis","","Hungary","","Torda","23 Feb 1890","",""
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:77813","Accipiter gentilis atricapillus","4707.3312","United States","Wyoming","0.5 mi W Green River Lakes","31 Aug 1939","43.2888","-109.84658"
