Scanner,Session,Copyright,family,Species,Genus,number,Collection,length,photo,scan lot,symbol,group filename,scan date,Month,Year,kV,uA,Filter,Detector,rotation,Voxel size,slices length,Scan Quality,isolated,fish only ,STL,who uploaded,when uploaded,spec. image,Comments,User1,User2,User3,Backup Drive ,oVert Tag#
Bruker Skyscan 1173,KassieKoryMax1,,Apteronotidae,Compsaraia samueli,Compsaraia,200485,ANSP,,Y,,hourglass,GymnoCan11,11/27/16,11,2016,70,114,1mm Al,2K,0.2,24.6,,,,,,,,,,,,,,
Toshiba Aquilion 64,Mara,,Sphyrnidae,Eusphyra blochii,Eusphyra,,,,,,,,10/15/07,10,2007,,,,,,,,,,,,,,,Medical scanner table visible in slices ,,,,,
Toshiba Aquilion 64,Mara,,Sphyrnidae,Sphyrna lewini,Sphyrna,,,,,,,,3/15/08,3,2008,,,,,,,,,,,,,,,Medical scanner table visible in slices ,,,,,
Toshiba Aquilion 64,Mara,,Sphyrnidae,Sphyrna mokarran,Sphyrna,,,,,,,,12/6/08,12,2008,,,,,,,,,,,,,,,Medical scanner table visible in slices ,,,,,
Toshiba Aquilion 64,Mara,,Sphyrnidae,Sphyrna tudes,Sphyrna,,,,,,,,8/8/09,8,2009,,,,,,,,,,,,,,,Medical scanner table visible in slices ,,,,,
Toshiba Aquilion 64,Mara,,Sphyrnidae,Sphyrna zygaena,Sphyrna,,,,,,,,12/5/09,12,2009,,,,,,,,,,,,,,,Medical scanner table visible in slices ,,,,,
GE eXplore CT-120,Farina,,Cottidae,Dasycottus setiger,Dasycottus,CUMV 97976,CUMV,,,,,,9/1/14,9,2014,,,,,,50,,,,,,A. von Hagel,6/18/2017,,,,,,,
GE eXplore CT-120,Farina,,Cottidae,Leptocottus armatus,Leptocottus,CUMV 98019,CUMV,,,,,,10/1/14,10,2014,,,,,,49.92,,,,,,A. von Hagel,6/18/2017,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Agonopsis chiloensis,Agonopsis,UW 115192,UW,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,A. von Hagel,6/12/17,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Agonopsis vulsa,Agonopsis,UW 155980,UW,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,Alifaire Noreen,8/8/2017,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Anoplagonus inermis,Anoplagonus,UW 155984,UW,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,Alifaire Noreen,8/9/2017,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Aspidophoroides monopterygius,Aspidophoroides,KU 28325,KU,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,Alex Cheroske,6/11/2017,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Aspidophoroides olrikii,Aspidophoroides,UW 153853,UW,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,A. von Hagel,6/13/17,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Bathyagonus alascanus,Bathyagonus,,,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,Adam,,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Bathyagonus infraspinatus,Bathyagonus,UW 110164,UW,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,Adam,,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Bathyagonus nigripinnis,Bathyagonus,UW155975,UW,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,Adam,,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Bathyagonus pentacanthus,Bathyagonus,KU 28021,KU,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,Adam,,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Bothragonus occidentalis,Bothragonus,UW 43787,UW,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,Adam,,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Bothragonus swanii,Bothragonus,UW155978,UW,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,Adam,,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Brachyopsis segaliensis,Brachyopsis,UW 44794,UW,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,Adam,,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Chesnonia verrucosa,Chesnonia,UW 28191,UW,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,Adam,,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Hypsagonus quadricornis,Hypsagonus,UW 111943,UW,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,A. von Hagel,6/13/2017,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Xeneretmus latifrons,Xeneretmus,UW 155979,UW,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,Alifaire Noreen,8/9/2017,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Xeneretmus leiops,Xeneretmus,UW 112546,UW,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,A. von Hagel,6/14/2017,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Xeneretmus triacanthus,Xeneretmus,UW 28820,UW,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,A. von Hagel,7/6/2017,,,,,,,
ScanCo 10,ChrisMartin,,Cyprinodontidae,Cyprinodon variegata,Cyprinodon,UnCat,CM personal collection,,,,,,1/1/15,1,2015,,,,,,15,,,,,,,,,,,,,,
ScanCo 10,ChrisMartin,,Cyprinodontidae,Cyprinodon desquamata,Cyprinodon,UnCat,CM personal collection,,,,,,1/1/15,1,2015,,,,,,15,,,,,,,,,,,,,,
Bruker Skyscan 1173,Kolmann,,Serrasalmidae,Serrasalmus spilopleura,Serrasalmus,108507,FMNH,,Y,,heart,PiranhaCan14,1/1/15,,,,,,,,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Katie Stanchak,,Thyropteridae,Thyroptera tricolor,Thyroptera,158246,MVZ,,,,,Thyroptera_tricolor_MVZ158246_091217,1/1/15,9,2017,60,133,1mm Al,2K,0.25,17.06,,,,,,,,,,,,,,
Bruker Skyscan 1173,Graham,,Syngnathidae,Idiotropicis larsonae,Idiotropicis,GCRL V84:21518,CAS,,,,,SynCan 19,1/1/15,,,,,,,,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Graham,,Syngnathidae,Hippocampus histrix,Hippocampus,HH-0825,CAS,,,,,SynCan 19,1/1/15,,,,,,,,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Graham,,Syngnathidae,Hippocampus minotaur,Hippocampus,CAS 13403,CAS,,,,,SynCan 19,1/1/15,,,,,,,,,,,,,,,,,,,,,,
