"source_taxon_external_id","source_taxon_name","source_taxon_path","source_specimen_life_stage","interaction_type","target_taxon_external_id","target_taxon_name","target_taxon_path","target_specimen_life_stage","latitude","longitude","study_citation","study_source_citation"
"FBC:SLB:SpecCode:75062","Larus argentatus","Aves | Ciconiiformes | Laridae | Larus | Larus argentatus",NA,"preysOn","FBC:FB:SpecCode:38","Ammodytes tobianus","Actinopterygii | Perciformes | Ammodytidae | Ammodytes | Ammodytes tobianus",NA,NA,NA,NA,NA
"FBC:SLB:SpecCode:75062","Larus argentatus","Aves | Ciconiiformes | Laridae | Larus | Larus argentatus",NA,"preysOn","EOL:1049440","Tringa erythropus","Animalia | Chordata | Aves | Charadriiformes | Scolopacidae | Tringa | Tringa erythropus",NA,NA,NA,NA,NA
"FBC:SLB:SpecCode:75062","Larus argentatus","Aves | Ciconiiformes | Laridae | Larus | Larus argentatus",NA,"preysOn","EOL:593023","Nephtys hombergii","Animalia | Annelida | Polychaeta | Phyllodocida | Nephtyidae | Nephtys | Nephtys hombergii",NA,NA,NA,NA,NA
"FBC:SLB:SpecCode:75062","Larus argentatus","Aves | Ciconiiformes | Laridae | Larus | Larus argentatus",NA,"preysOn","EOL:448700","Ensis directus","Animalia | Mollusca | Bivalvia |  | Solenoidea | Pharidae | Ensis | Ensis directus",NA,NA,NA,NA,NA
"FBC:SLB:SpecCode:75062","Larus argentatus","Aves | Ciconiiformes | Laridae | Larus | Larus argentatus",NA,"preysOn","EOL:406777","Nereis diversicolor","Annelida | Polychaeta | Errantia | Aciculata | Phyllodocida | Nereididae | Nereis | Nereis diversicolor",NA,NA,NA,NA,NA
"FBC:SLB:SpecCode:75062","Larus argentatus","Aves | Ciconiiformes | Laridae | Larus | Larus argentatus",NA,"preysOn","EOL:216882","Merlangius merlangus","Animalia | Chordata | Actinopterygii | Gadiformes | Gadidae | Merlangius | Merlangius merlangus",NA,NA,NA,NA,NA
"FBC:SLB:SpecCode:75062","Larus argentatus","Aves | Ciconiiformes | Laridae | Larus | Larus argentatus",NA,"preysOn","EOL:1049118","Recurvirostra avosetta","Animalia | Chordata | Aves | Charadriiformes | Recurvirostridae | Recurvirostra | Recurvirostra avosetta",NA,NA,NA,NA,NA
"FBC:SLB:SpecCode:75062","Larus argentatus","Aves | Ciconiiformes | Laridae | Larus | Larus argentatus",NA,"preysOn","EOL:208483","Pleuronectes platessa","Animalia | Chordata | Actinopterygii | Pleuronectiformes | Pleuronectidae | Pleuronectes | Pleuronectes platessa",NA,NA,NA,NA,NA
"FBC:SLB:SpecCode:75062","Larus argentatus","Aves | Ciconiiformes | Laridae | Larus | Larus argentatus",NA,"preysOn","EOL:590151","Macoma balthica","Animalia | Mollusca | Bivalvia | Veneroida | Tellinoidea | Tellinidae | Macoma | Macoma balthica",NA,NA,NA,NA,NA
"FBC:SLB:SpecCode:75062","Larus argentatus","Aves | Ciconiiformes | Laridae | Larus | Larus argentatus",NA,"preysOn","EOL:223061","Engraulis encrasicolus","Animalia | Chordata | Actinopterygii | Clupeiformes | Engraulidae | Engraulis | Engraulis encrasicolus",NA,NA,NA,NA,NA
"FBC:SLB:SpecCode:75062","Larus argentatus","Aves | Ciconiiformes | Laridae | Larus | Larus argentatus",NA,"preysOn","EOL:994641","Pomatoschistus microps","Animalia | Chordata | Actinopterygii | Perciformes | Gobiidae | Pomatoschistus | Pomatoschistus microps",NA,NA,NA,NA,NA
"FBC:SLB:SpecCode:75062","Larus argentatus","Aves | Ciconiiformes | Laridae | Larus | Larus argentatus",NA,"preysOn","EOL:395985","Cerastoderma edule","Animalia | Mollusca | Bivalvia | Veneroida | Cardioidea | Cardiidae | Cerastoderma | Cerastoderma edule",NA,NA,NA,NA,NA
"FBC:SLB:SpecCode:75062","Larus argentatus","Aves | Ciconiiformes | Laridae | Larus | Larus argentatus",NA,"preysOn","EOL:128502","Carcinus maenas","Animalia | Arthropoda | Malacostraca | Decapoda | Portunoidea | Portunidae | Carcinus | Carcinus maenas",NA,NA,NA,NA,NA
"FBC:SLB:SpecCode:75062","Larus argentatus","Aves | Ciconiiformes | Laridae | Larus | Larus argentatus",NA,"preysOn","EOL:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA
"FBC:SLB:SpecCode:75062","Larus argentatus","Aves | Ciconiiformes | Laridae | Larus | Larus argentatus",NA,"preysOn","EOL:994642","Pomatoschistus minutus","Animalia | Chordata | Actinopterygii | Perciformes | Gobiidae | Pomatoschistus | Pomatoschistus minutus",NA,NA,NA,NA,NA
"FBC:SLB:SpecCode:75062","Larus argentatus","Aves | Ciconiiformes | Laridae | Larus | Larus argentatus",NA,"preysOn","EOL:994631","Platichthys flesus","Animalia | Chordata | Actinopterygii | Pleuronectiformes | Pleuronectidae | Platichthys | Platichthys flesus",NA,NA,NA,NA,NA
"FBC:SLB:SpecCode:75062","Larus argentatus","Aves | Ciconiiformes | Laridae | Larus | Larus argentatus",NA,"preysOn","FBC:FB:SpecCode:24","Clupea harengus","Actinopterygii | Clupeiformes | Clupeidae | Clupea | Clupea harengus",NA,NA,NA,NA,NA
"FBC:SLB:SpecCode:75062","Larus argentatus","Aves | Ciconiiformes | Laridae | Larus | Larus argentatus",NA,"preysOn","FBC:SLB:SpecCode:3442","Littorina littorea","Gastropoda | Neotaenioglossa | Littorinidae | Littorina | Littorina littorea",NA,NA,NA,NA,NA
